Date,Staff,Outlet,Retail POS,Retail POS Cash,Retail POS Card,Retail Cash,Retail Card,F&B POS,F&B POS Cash,F&B POS Card,F&B Cash,F&B Card,Deliveroo,Careem,Keeta,Tips Cash,Tips Card,Total Cash,Total Card,Delivery,Tips,Grand Total,R.Cash Var,R.Card Var,F&B Cash Var,F&B Card Var,Notes
2026-07-16,Jay,Ventum Racing,24124.5,0,24124.5,0,1725.5,846.4,0,846.4,0,846.4,0,0,0,0,0,0,2571.9,0,0,2571.9,,-22399,,0,"22,399 AED BNPL"
2026-07-17,Rhein,Ventum Racing,26865.05,0,26865.05,0,22385.25,938,42,668,42,668,228,0,0,0,0,42,23053.25,228,0,23323.25,,-4479.799999999999,0,0,ETS Deposit: 4479.80 AED
2026-07-18,Jay,Ventum Racing,2119.85,57.85,2062,58,2062,365,0,274,0,274,91,0,0,0,0,58,2336,91,0,2485,0.14999999999999858,0,,0,
2026-07-19,Jay,Ventum Racing,22551.6,0,22551.6,0,22551.6,837,48,789,48,789,0,0,0,0,0,48,23340.6,0,0,23388.6,,0,0,0,
2026-07-20,Jay,Ventum Racing,0,0,0,0,0,357,0,239,0,239,118,0,0,0,0,0,239,118,0,357,,,,0,
2026-07-21,Jay,Ventum Racing,10000,0,10000,0,10000,417,5,412,5,423,0,0,0,0,11,5,10423,0,11,10417,,0,0,11,10000 AED deposit for enve 4.5 pro
2026-07-22,Rhein,Ventum Racing,113.3,0,113.3,0,113.3,557,0,557,0,564,0,0,0,0,7,0,677.3,0,7,670.3,,0,,7,7 cc tips
2026-07-23,Rhein,Ventum Racing,88.5,0,88.5,0,88.5,625,47,506,47,506,72,0,0,0,0,47,594.5,72,0,713.5,,0,0,0,
2026-07-24,Rhein,Ventum Racing,25500.18,0,25500.18,0,21020.38,970,0,911,0,911,59,0,0,0,0,0,21931.38,59,0,21990.38,,-4479.799999999999,,0,4479.80 is a deposit for road bike for mr.johny bell
2026-07-25,Jay,Ventum Racing,889.5,0,889.5,0,889.5,331,44,287,44,287,0,0,0,0,0,44,1176.5,0,0,1220.5,,0,0,0,
2026-07-26,Jay,Ventum Racing,390,0,390,0,390,805,12,793,12,793,0,0,0,0,0,12,1183,0,0,1195,,0,0,0,
2026-07-27,Rhein,Ventum Racing,675,0,675,0,675,462,0,462,0,462,0,0,0,0,0,0,1137,0,0,1137,,0,,0,
2026-07-28,Jay,Ventum Racing,200,0,200,0,0,284,0,218,0,418,66,0,0,0,0,0,418,66,0,484,,-200,,200,200 AED retail sale was punch at F&B card machine
2026-07-29,Rhein,Ventum Racing,724,0,724,0,724,274,47,227,47,227,0,0,0,0,0,47,951,0,0,998,,0,0,0,
2026-07-30,Jay,Ventum Racing,33033,0,33033,0,26473.2,460,0,396,0,396,64,0,0,0,0,0,26869.2,64,0,26933.2,,-6559.799999999999,,0,"Amount 6,559.80 AED is deposit for NS1 bike"
2026-07-31,Jay,Ventum Racing,3071.75,0,3071.75,0,3071.75,325,0,325,0,325,0,0,0,0,0,0,3396.75,0,0,3396.75,,0,,0,
2026-08-01,Rhein,Ventum Racing,2091.04,0,2091.04,0,2091.04,463,44,419,44,419,0,0,0,0,0,44,2510.04,0,0,2554.04,,0,0,0,
2026-08-02,Jay,Ventum Racing,1071,0,1071,0,1071,551,0,551,0,551,0,0,0,0,0,0,1622,0,0,1622,,0,,0,
2026-08-03,Rhein,Ventum Racing,1221,0,1221,0,1221,519,0,484,0,484,35,0,0,0,0,0,1705,35,0,1740,,0,,0,
2026-08-04,Rhein,Ventum Racing,304,0,304,0,304,394,0,355,0,355,0,0,39,0,0,0,659,39,0,698,,0,,0,
2026-08-05,Rhein,Ventum Racing,173,0,173,0,173,425,10,415,10,415,0,0,0,0,0,10,588,0,0,598,,0,0,0,
2026-08-06,Jay,Ventum Racing,263.28,0,263.28,0,263.28,441,0,379,0,379,62,0,0,0,0,0,642.28,62,0,704.28,,0,,0,
2026-08-07,Rhein,Ventum Racing,1741,0,1741,0,1741,451,0,451,0,451,0,0,0,0,0,0,2192,0,0,2192,,0,,0,
2026-08-08,Jay,Ventum Racing,21911.5,0,21911.5,0,2712.3,849,18,736,20,736,95,0,0,2,0,20,3448.3,95,2,3561.3,,-19199.2,2,0,"Amount 19,199.20 AED is for BNPL"
2026-08-09,Jay,Ventum Racing,1473.7,0,1473.7,0,1473.7,1105,0,1081,0,1081,24,0,0,0,0,0,2554.7,24,0,2578.7,,0,,0,
2026-08-10,Rhein,Ventum Racing,755,0,755,0,755,218,0,218,0,218,0,0,0,0,0,0,973,0,0,973,,0,,0,
2026-08-11,Rhein,Ventum Racing,46,0,46,0,46,470,0,470,0,644,0,0,0,0,0,0,690,0,0,690,,0,,174,
2026-08-12,Jay,Ventum Racing,49729.45,0,49729.45,0,135.85,418.5,0,318.5,0,318.5,100,0,0,0,0,0,454.35,100,0,554.35,,-49593.6,,0,"Amount 49,593.60 AED is for BNPL"
2026-08-13,Jay,Ventum Racing,592,0,592,0,592,305.4,57.5,247.9,57.5,247.9,0,0,0,0,0,57.5,839.9,0,0,897.4,,0,0,0,
2026-08-14,Jay,Ventum Racing,1717.4,0,1717.4,0,1717.4,551,75,476,75,476,0,0,0,0,0,75,2193.4,0,0,2268.4,,0,0,0,
2026-08-15,Jay,Ventum Racing,853.3,0,853.3,0,853.3,397,104,293,104,293,0,0,0,0,0,104,1146.3,0,0,1250.3,,0,0,0,
2026-08-16,Jay,Ventum Racing,16696.15,0,16696.15,0,16696.15,745.5,0,745.5,0,745.5,0,0,0,0,0,0,17441.65,0,0,17441.65,,0,,0,
